snapshot_date,season,team,conf,games,record,adj_oe,adj_de,barthag,adj_tempo,efg_off,efg_def,tor_off,tor_def,orb_off,drb_def,ftr_off,ftr_def,wab,source_url
2025-11-04,2026,Arkansas Pine Bluff,SWAC,1,0–10–0,81.0243,112.4188,0.0225251,73.689,31.3252,57.4195,21.9189,19.1101,30.8132,51.525,17.9233,54.1206,-0.41171,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Arkansas St.,SB,1,1–00–0,113.569,114.2195,0.4823128,73.885,57.163,55.6179,23.921,13.3206,41.936,20.032,50.061,34.9123,0.1614,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Auburn,SEC,1,1–00–0,117.349,121.0225,0.4112145,69.2187,50.0126,58.6208,13.855,16.3158,39.549,23.553,55.945,12.96,0.0648,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,BYU,B12,1,1–00–0,115.457,86.827,0.963722,70.7146,43.2198,43.36,5.92,16.2162,27.3167,35.4167,31.8163,22.442,0.63,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Ball St.,MAC,1,1–00–0,109.3101,111.6184,0.4399136,68.5201,60.927,50.0117,17.1113,18.711,28.6152,25.774,60.929,15.316,0.0381,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Baylor,B12,1,1–00–0,122.33,105.915,0.84026,78.924,57.759,58.2202,14.259,15.4179,33.3104,6.31,49.268,18.025,0.1418,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Bellarmine,ASun,1,0–10–0,90.4226,110.5175,0.0904221,71.5126,47.4164,60.7227,28.8243,7.9249,17.1234,28.199,10.5253,30.083,-0.31161,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Belmont,MVC,1,1–00–0,108.3107,113.7193,0.3634157,67.6213,52.7103,59.622,12.035,34.51,25.8177,34.816,45.582,19.128,0.01111,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Bethune Cookman,SWAC,1,0–10–0,118.943,102.6123,0.845959,70.9141,58.647,50.0117,16.396,13.8202,23.5203,39.5206,12.925,55.921,-0.33163,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Binghamton,AE,1,0–10–0,77.125,110.4174,0.0159252,69.1188,34.4245,56.1184,31.9253,7.2251,20.6223,33.3144,48.97,24.252,-0.5194,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Boston College,ACC,1,0–10–0,102.4149,101.4111,0.5295122,68.9195,49.3141,52.2144,17.5121,15.0186,32.6114,19.128,35.8127,37.3138,-0.7214,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Boston University,Pat,1,1–00–0,94.3202,102.3118,0.2812176,63.9247,50.0126,47.594,21.5187,17.5134,31.4127,29.7114,33.3143,43.3165,0.0929,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Bowling Green,MAC,1,1–00–0,107.5112,80.815,0.96402,71.8122,62.121,41.752,17.0108,25.532,25.0189,14.31,27.619,13.08,0.055,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Bradley,MVC,1,0–10–0,91.6221,100.8107,0.2498185,66.3226,48.2154,46.789,13.654,19.791,14.7245,38.5196,23.221,28.373,-0.8232,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Bryant,AE,1,0–10–0,100.3165,123.6237,0.0832226,69.4178,51.8116,50.0117,30.0247,10.5232,43.831,47.4243,21.4221,29.981,-0.8228,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Bucknell,Pat,1,1–00–0,103.3141,102.1117,0.534812,75.954,53.297,46.183,18.3135,16.915,35.391,28.6101,22.6212,28.171,0.0475,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Buffalo,MAC,1,1–00–0,124.322,130.6251,0.3629158,64.2243,56.671,60.0221,12.236,21.371,37.171,29.2108,67.915,40.015,0.0646,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Cal Baptist,WAC,1,1–00–0,119.842,117.3209,0.5593117,70.7146,58.647,50.9138,9.919,19.889,37.171,24.258,32.815,53.7204,0.0391,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Cal Poly,BW,1,0–10–0,89.5229,103.513,0.1593207,78.924,39.6219,53.2159,26.623,16.915,35.489,36.1174,16.7235,63.5234,-0.47183,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Cal St. Bakersfield,BW,1,0–10–0,92.1214,109.7172,0.1179216,72.5111,38.7225,58.5205,23.3202,19.299,30.6136,40.0209,56.641,42.4161,-0.48185,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,California,ACC,1,1–00–0,106.4121,92.646,0.831664,70.3158,58.55,38.732,19.2157,23.354,40.046,30.6119,42.496,56.6216,0.02103,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Campbell,CAA,1,0–10–0,106.1125,107.2156,0.470413,69.5175,49.0145,59.0217,26.7231,12.7213,30.014,38.2195,32.7155,28.474,-0.21149,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Canisius,MAAC,1,0–10–0,88.1232,130.3249,0.0110253,63.5249,43.0199,58.8213,30.0247,6.3254,33.3104,35.5169,22.0217,80.4251,-0.5192,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Central Arkansas,ASun,1,0–10–0,81.624,108.8167,0.0352242,74.865,37.523,58.5205,22.6199,15.9169,23.3206,37.5188,14.1246,33.8115,-0.24152,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Central Michigan,MAC,1,1–00–0,128.513,105.1142,0.909842,69.5175,58.647,44.166,18.5141,13.92,44.825,36.2176,29.3177,49.2188,0.0833,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Charleston Southern,BSth,1,0–10–0,99.0178,109.1169,0.2474186,78.234,40.1217,52.0143,19.2157,9.0244,29.4145,40.9213,21.1223,35.5125,-0.41172,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Charlotte,Amer,1,1–00–0,130.81,115.5202,0.807271,68.3205,55.479,53.5163,11.633,14.5193,52.95,22.947,46.277,36.8136,0.0739,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Chicago St.,NEC,1,0–10–0,95.0196,126.6243,0.0355241,73.885,41.121,56.7187,22.0191,17.9127,28.9151,41.0215,41.1104,58.322,-0.6205,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Cincinnati,B12,1,1–00–0,110.884,79.713,0.977713,79.32,62.719,43.057,18.8148,27.518,23.3206,32.6141,50.86,21.939,0.0647,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Clemson,ACC,1,1–00–0,111.081,71.42,0.99385,69.4178,56.967,28.33,8.611,18.711,24.12,17.424,80.45,15.013,0.01116,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Cleveland St.,Horz,1,0–10–0,120.241,132.2254,0.2509184,73.788,52.3111,54.5168,19.5163,9.7239,50.09,29.3109,35.9125,37.9139,-0.924,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Coastal Carolina,SB,1,0–10–0,90.5225,98.883,0.265118,75.164,48.4149,48.01,17.2115,19.988,22.0213,16.116,32.815,70.0244,-0.9244,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Colgate,Pat,1,0–10–0,116.65,101.1109,0.836862,70.8144,57.065,46.789,18.8148,14.4195,9.7253,46.3237,10.5253,61.7229,-0.15137,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Colorado,B12,1,1–00–0,120.738,114.5196,0.647299,70.3158,54.883,58.02,13.147,16.0166,35.586,21.442,75.09,30.486,0.1221,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Colorado St.,MWC,1,1–00–0,131.28,105.0139,0.928336,67.5215,74.02,44.166,15.274,7.625,38.163,16.717,62.525,35.6127,0.0474,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Connecticut,BE,1,1–00–0,112.276,97.775,0.830865,70.8144,55.479,47.192,18.0131,16.5156,32.3121,11.85,35.7128,26.962,0.02104,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Coppin St.,MEAC,1,0–10–0,93.5207,117.4211,0.0676232,69.4178,50.0126,54.5168,29.3244,17.6132,25.8177,34.4158,32.7155,45.5173,-0.8225,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Dayton,A10,1,1–00–0,126.919,92.749,0.973815,66.6223,58.842,43.057,6.33,30.08,35.586,33.3144,80.45,22.04,0.01112,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,DePaul,BE,1,1–00–0,113.965,95.159,0.88875,74.771,56.77,41.146,17.9129,22.063,41.041,28.9106,58.336,41.1153,0.0111,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Delaware,CUSA,1,0–10–0,94.6201,120.2224,0.0597234,71.5126,46.1173,53.2159,16.9104,18.3119,28.6152,35.3165,28.1185,22.644,-0.9252,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Denver,Sum,1,0–10–0,109.0104,114.2194,0.3708151,76.649,44.6186,52.5148,23.4204,15.6178,27.8162,26.383,50.061,55.921,-0.6209,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Detroit Mercy,Horz,1,0–10–0,100.3166,108.0161,0.299917,80.69,36.4232,54.5168,18.915,20.283,38.954,32.4137,26.0197,64.3236,-0.621,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Drake,MVC,1,1–00–0,99.8174,108.2163,0.2820175,73.099,50.812,43.863,14.563,8.7245,33.3104,30.6119,36.7122,16.419,0.0468,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Duke,ACC,1,1–00–0,112.077,82.118,0.972516,66.9219,51.0118,36.423,15.069,24.043,32.4119,40.9213,57.739,39.0145,0.54,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Duquesne,A10,1,1–00–0,109.598,95.561,0.828266,76.947,66.48,43.863,23.921,22.559,26.917,19.429,23.6207,56.3213,0.02108,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,East Carolina,Amer,1,1–00–0,106.3124,111.3181,0.3699153,77.244,50.0126,53.8167,16.293,17.4137,43.93,35.0162,62.127,45.5173,0.0551,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Eastern Illinois,OVC,1,0–10–0,90.7224,95.963,0.3464161,72.6107,41.3207,40.944,28.5242,20.084,31.3129,34.0154,67.416,63.6235,-0.7221,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Eastern Michigan,MAC,1,1–00–0,95.7194,84.023,0.818269,67.921,44.5189,35.315,19.0153,24.838,46.819,29.5113,15.1243,20.732,0.0298,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Eastern Washington,BSky,1,0–10–0,111.082,99.988,0.769776,73.885,60.235,52.9155,22.6199,11.3225,20.7221,33.3144,25.9198,14.312,-0.25154,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Evansville,MVC,1,0–10–0,94.8198,105.014,0.2358188,64.2243,35.0244,58.5205,16.293,11.3225,41.738,37.5188,5.7256,27.164,-0.13135,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Fairfield,MAAC,1,0–10–0,101.2156,100.6105,0.5169124,69.0192,42.9201,53.5163,10.121,10.1235,27.3167,21.239,12.925,43.9168,-0.7218,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Fairleigh Dickinson,NEC,1,0–10–0,88.2231,106.7154,0.1008218,71.0135,38.5227,61.2231,25.5224,12.7213,20.0224,26.585,32.7155,13.49,-0.11133,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Florida,SEC,1,0–10–0,130.211,97.876,0.964319,78.431,47.9158,50.8133,18.4139,17.1143,37.073,35.3165,42.994,62.3231,-0.12134,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Florida A&M,SWAC,1,0–10–0,96.619,111.1179,0.1676204,75.658,41.5206,54.8173,26.2227,18.711,27.5164,48.6245,44.188,64.5238,-0.40169,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Florida Atlantic,Amer,1,1–00–0,109.597,104.0134,0.6436102,72.8105,52.2112,49.3116,15.069,17.5134,19.1229,32.6141,37.3119,35.813,0.1122,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Florida St.,ACC,1,1–00–0,129.412,117.5212,0.751682,75.36,65.012,58.8213,10.524,27.716,36.874,29.0107,35.7128,52.92,0.01113,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Fordham,A10,1,0–10–0,92.2213,124.3238,0.0310244,64.0246,37.3231,57.6197,12.438,17.0145,40.445,25.774,26.9194,13.61,-1.0256,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Furman,SC,1,0–10–0,100.2167,123.4236,0.0837225,70.4155,50.0126,64.5244,30.125,8.2247,44.128,25.774,33.3143,21.737,-0.7217,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Gardner Webb,BSth,1,0–10–0,85.3236,116.4205,0.0274247,77.54,38.6226,60.9228,19.416,19.495,25.0189,37.5188,47.472,54.5207,-0.42174,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,George Mason,A10,1,1–00–0,94.2203,77.45,0.905445,64.724,52.7103,36.019,18.4139,24.64,26.7171,25.671,29.1179,32.096,0.0472,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,George Washington,A10,1,1–00–0,92.6212,88.934,0.6152108,69.6171,47.5162,36.321,23.921,22.461,47.115,14.31,28.818,23.549,0.01115,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Georgetown,BE,1,1–00–0,100.8161,105.4146,0.3735149,72.2118,46.2172,45.779,9.315,21.272,35.094,29.7114,60.032,41.4155,0.01119,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Georgia,SEC,1,1–00–0,107.4114,82.519,0.954127,79.714,60.73,47.493,7.98,28.814,28.1158,17.123,30.0173,10.53,0.0388,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Georgia Southern,SB,1,0–10–0,110.091,118.8218,0.2919173,78.924,53.89,50.0117,17.4119,16.2162,35.094,43.9227,45.582,62.123,-0.9237,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Georgia St.,SB,1,0–10–0,77.6249,105.5147,0.0284246,69.4178,35.3242,44.568,24.8219,19.0103,29.5144,46.8238,20.7225,15.114,-0.9233,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Georgia Tech,ACC,1,1–00–0,73.2253,90.236,0.0829227,66.2227,39.2223,41.146,18.6142,27.221,27.9159,26.383,30.0173,19.629,0.01123,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Gonzaga,WCC,1,1–00–0,114.761,78.49,0.98757,71.3132,58.745,28.02,17.9129,23.452,55.93,24.563,30.417,28.876,0.0394,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Grand Canyon,MWC,1,1–00–0,115.654,97.674,0.874753,74.865,65.81,48.4104,20.017,17.3139,25.0189,15.815,35.1133,15.617,0.047,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Green Bay,Horz,1,0–10–0,99.6176,126.2241,0.0616233,64.3242,35.7239,65.5246,12.438,4.7256,16.7235,32.1134,32.116,41.4155,-0.18145,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Hampton,CAA,1,0–10–0,102.0152,116.8207,0.1743202,79.32,48.4149,47.998,22.6199,11.3225,37.27,41.2217,54.052,60.0224,-0.9239,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Hawaii,BW,1,0–10–0,81.6242,77.96,0.6297104,77.441,36.2237,37.928,23.8208,27.716,33.3104,39.5206,29.2178,44.817,-0.62,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,High Point,BSth,1,1–00–0,131.29,100.8108,0.953828,74.865,64.513,50.0117,8.21,30.17,25.718,44.1229,21.7219,33.3109,0.132,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Hofstra,CAA,1,0–10–0,112.773,100.4102,0.790374,70.9141,46.0175,53.6165,16.51,22.063,35.193,47.124,38.7114,64.3236,-0.42175,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Holy Cross,Pat,1,0–10–0,100.4163,103.7132,0.4102146,73.689,50.0126,55.6179,16.7102,12.8211,20.9219,22.245,32.3159,43.5166,-0.50188,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Houston,B12,1,1–00–0,107.0117,87.73,0.908144,68.7197,48.4149,41.248,19.1155,22.063,41.738,24.36,32.815,45.1172,0.0378,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Howard,MEAC,1,0–10–0,97.3186,113.3192,0.1480211,72.9101,45.2182,63.9243,18.1132,22.362,24.4195,47.124,25.8199,34.412,-0.6213,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,IU Indy,Horz,1,0–10–0,127.216,119.1221,0.679594,87.31,57.958,70.4253,15.172,19.889,28.6152,45.8236,26.3196,98.1256,-0.2315,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Idaho,BSky,1,1–00–0,120.74,102.0115,0.873654,71.0135,59.538,49.1113,15.476,7.0253,21.2216,17.625,32.815,59.6223,0.326,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Illinois,B10,1,1–00–0,131.96,84.724,0.99394,73.296,66.48,36.321,15.986,14.6191,58.32,9.13,32.9149,22.644,0.02107,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Illinois Chicago,MVC,1,1–00–0,106.9118,95.762,0.782775,77.639,54.586,36.423,20.2174,18.9105,32.4119,38.9201,64.32,26.06,0.0735,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Incarnate Word,Slnd,1,0–10–0,104.0139,130.425,0.069023,70.4155,44.119,74.0255,7.67,15.2183,16.7235,38.1194,35.613,62.5232,-0.6199,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Indiana St.,MVC,1,0–10–0,108.211,126.4242,0.1433212,73.591,53.593,55.4177,14.563,11.6224,22.9209,52.9252,36.8121,46.218,-0.8227,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Iowa,B10,1,1–00–0,144.21,102.0116,0.981611,71.7124,69.15,59.4218,16.089,33.52,45.523,44.8231,93.62,45.8178,0.1026,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Iowa St.,B12,1,1–00–0,110.19,80.916,0.972117,74.379,61.224,38.53,12.742,25.532,26.5172,20.032,13.4248,32.71,0.01109,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Jackson St.,SWAC,1,0–10–0,87.2234,118.3216,0.0291245,77.441,36.3235,66.4248,14.665,15.9169,9.1254,58.3255,22.6212,32.9108,-0.0913,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Jacksonville,ASun,1,0–10–0,104.2136,102.5122,0.5490118,72.9101,53.495,58.2202,19.0153,20.481,15.6243,34.816,24.1206,75.5249,-0.28155,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,James Madison,SB,1,0–10–0,108.7106,103.2129,0.6454101,68.7197,48.4149,49.2115,26.4229,11.1229,31.6125,38.5196,21.3222,46.0179,-0.47182,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Kansas,B12,1,1–00–0,131.57,83.221,0.99493,69.0192,65.511,35.716,4.71,12.4216,32.1123,16.717,41.4101,32.197,0.0832,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Kansas St.,B12,1,1–00–0,97.0189,91.039,0.674896,79.714,61.224,42.654,20.017,22.559,34.498,24.461,29.9175,32.8103,0.0383,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Kent St.,MAC,1,0–10–0,109.2102,122.523,0.2100192,78.924,45.6179,61.9235,16.396,14.0199,44.029,20.735,41.898,52.4199,-0.9242,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
