snapshot_date,team,net_rank,prev_rank,record,conf,quad1,quad2,quad3,quad4,source_url
2026-03-12,Bradley,160,160,19-11,MVC,0-1,0-0,0-5,19-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Brown,138,137,15-10,Ivy League,0-1,0-3,1-3,14-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Bryant,163,162,16-12,America East,0-0,0-0,0-2,16-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Bucknell,298,297,10-19,Patriot,0-1,0-0,0-4,10-14,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Buffalo,310,310,3-27,MAC,0-1,0-2,0-5,3-19,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Butler,133,133,12-19,Big East,0-4,0-4,2-6,10-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,CSU Bakersfield,306,306,6-23,Big West,0-0,0-2,0-4,6-17,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,CSUN,276,275,8-20,Big West,0-0,0-2,0-6,8-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Cal Poly,338,338,2-26,Big West,0-3,0-2,0-3,2-18,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Cal St. Fullerton,195,193,16-14,Big West,0-0,0-1,0-3,16-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,California,52,52,19-14,ACC,1-8,3-4,2-2,13-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,California Baptist,126,127,21-10,WAC,0-1,0-1,2-2,19-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Campbell,211,210,18-11,CAA,0-0,0-1,1-1,17-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Canisius,341,341,5-24,MAAC,0-2,0-2,0-3,5-17,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Central Ark.,106,106,19-11,ASUN,0-0,0-1,1-3,18-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Central Conn. St.,361,361,2-27,NEC,0-1,0-0,0-2,2-24,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Central Mich.,116,116,17-12,MAC,0-3,0-2,1-2,16-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Charleston So.,331,331,7-22,Big South,0-2,0-2,0-3,7-15,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Charlotte,170,169,14-18,American,0-3,0-3,1-4,13-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Chattanooga,208,208,18-10,SoCon,0-0,0-2,0-0,18-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Chicago St.,346,346,9-23,NEC,0-1,0-1,0-2,9-19,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Cincinnati,109,109,10-20,Big 12,0-4,3-9,0-3,7-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Clemson,42,42,21-11,ACC,3-10,3-1,1-0,14-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Cleveland St.,152,149,22-9,Horizon,0-0,0-0,1-1,21-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Coastal Carolina,146,145,12-18,Sun Belt,0-3,0-3,0-5,12-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Col. of Charleston,103,104,22-5,CAA,0-0,0-1,2-0,20-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Colgate,322,321,6-24,Patriot,0-1,0-1,0-4,6-18,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Colorado,46,46,22-11,Big 12,2-5,6-3,3-2,11-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Colorado St.,70,70,26-7,Mountain West,0-0,1-2,3-4,22-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Columbia,58,58,20-7,Ivy League,1-1,4-2,0-3,15-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Coppin St.,293,295,8-22,MEAC,0-5,0-1,0-1,8-15,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Cornell,299,296,8-18,Ivy League,0-2,1-2,1-3,6-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Creighton,90,90,16-15,Big East,0-5,1-4,3-3,12-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Dartmouth,321,322,7-17,Ivy League,0-1,0-3,0-4,7-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Davidson,71,72,21-12,Atlantic 10,0-4,0-4,3-2,18-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Dayton,168,166,17-14,Atlantic 10,0-0,1-6,1-1,15-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,DePaul,202,203,8-24,Big East,0-5,0-3,2-5,6-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Delaware,238,238,12-19,CUSA,0-0,0-1,0-4,12-14,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Delaware St.,344,344,4-23,MEAC,0-1,0-0,0-1,4-21,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Denver,290,287,8-19,Summit League,0-1,0-4,0-3,8-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Detroit Mercy,303,303,7-23,Horizon,0-1,0-0,0-3,7-19,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Drake,213,213,12-19,MVC,0-2,0-1,0-6,12-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Drexel,165,165,19-9,CAA,0-0,0-0,0-3,19-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Duke,8,8,24-8,ACC,9-7,5-1,2-0,8-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Duquesne,241,242,10-19,Atlantic 10,0-1,0-2,1-4,9-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,ETSU,247,247,16-13,SoCon,0-3,0-0,0-0,16-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,East Carolina,112,112,22-9,American,0-0,0-1,2-2,20-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,East Texas A&M,287,289,11-17,Southland,0-2,0-0,0-2,11-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Eastern Ill.,316,317,4-27,OVC,0-2,0-2,0-5,4-18,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Eastern Ky.,110,110,22-8,ASUN,0-1,0-0,1-1,21-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Eastern Mich.,196,196,12-16,MAC,0-1,0-3,0-4,12-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Eastern Wash.,210,209,13-18,Big Sky,0-0,0-3,1-4,12-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Elon,214,212,15-15,CAA,0-1,0-0,0-3,15-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Evansville,275,277,8-24,MVC,0-1,0-1,1-3,7-19,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,FDU,134,132,27-4,NEC,0-1,0-1,0-0,27-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,FGCU,159,159,14-15,ASUN,0-1,1-2,1-4,12-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,FIU,173,174,19-10,CUSA,0-0,0-2,0-2,19-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Fairfield,53,53,28-4,MAAC,2-2,0-0,3-1,23-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Fla. Atlantic,239,239,13-18,American,0-0,0-3,1-5,12-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Florida,48,48,18-15,SEC,2-10,1-1,3-3,12-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Florida A&M,339,339,8-22,SWAC,0-0,0-2,0-1,8-19,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Florida St.,108,108,10-21,ACC,0-9,0-9,3-2,7-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Fordham,259,259,9-20,Atlantic 10,0-1,0-5,0-2,9-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Fresno St.,174,175,14-18,Mountain West,0-1,0-4,0-6,14-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Furman,246,246,14-13,SoCon,0-2,0-3,0-0,14-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Ga. Southern,75,75,22-7,Sun Belt,0-2,2-2,1-2,19-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Gardner-Webb,328,328,12-19,Big South,0-1,0-0,0-1,12-17,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,George Mason,60,60,23-9,Atlantic 10,1-3,3-3,2-1,17-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,George Washington,172,173,14-17,Atlantic 10,0-0,1-5,0-3,13-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Georgetown,95,95,14-17,Big East,0-5,1-3,3-3,10-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Georgia,34,34,22-9,SEC,3-8,2-1,6-0,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Georgia St.,233,232,8-21,Sun Belt,0-2,1-3,0-3,7-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Georgia Tech,74,74,14-18,ACC,1-9,2-6,2-2,9-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Gonzaga,62,63,24-9,WCC,0-0,1-5,5-4,18-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Grambling,304,301,10-19,SWAC,0-1,0-1,0-3,10-14,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Grand Canyon,135,135,13-19,Mountain West,0-2,0-4,3-4,10-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Green Bay,97,97,24-8,Horizon,0-2,1-2,0-1,23-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Hampton,311,312,7-21,CAA,0-0,0-0,0-2,7-19,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Harvard,65,65,17-10,Ivy League,0-3,1-2,2-3,14-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Hawaii,115,117,19-10,Big West,0-0,0-1,1-4,18-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,High Point,144,143,25-5,Big South,0-0,0-1,2-0,23-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Hofstra,277,282,8-21,CAA,0-2,0-1,0-2,8-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Holy Cross,148,154,22-9,Patriot,0-1,0-2,2-1,20-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Houston,176,177,7-23,Big 12,0-6,0-8,0-6,7-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Houston Christian,312,311,6-21,Southland,0-1,0-2,0-2,6-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Howard,156,155,24-7,MEAC,0-2,1-1,1-1,22-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,IU Indy,255,255,12-17,Horizon,0-0,0-0,0-4,12-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Idaho,99,99,27-5,Big Sky,0-0,0-2,2-0,25-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Idaho St.,132,130,18-11,Big Sky,0-0,0-2,2-1,16-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Illinois,30,30,21-11,Big Ten,3-10,2-0,5-1,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Illinois St.,153,151,19-12,MVC,0-2,0-1,0-3,19-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Indiana,55,55,18-14,Big Ten,2-12,1-2,3-0,12-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Indiana St.,297,304,9-21,MVC,0-1,0-0,0-3,9-17,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Iona,271,270,19-12,MAAC,0-0,0-2,1-3,18-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Iowa,10,10,26-6,Big Ten,9-6,7-0,3-0,7-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Iowa St.,33,33,22-9,Big 12,2-3,6-5,1-1,13-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Jackson St.,315,315,11-19,SWAC,0-3,0-1,0-2,11-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Jacksonville,137,136,22-8,ASUN,0-2,1-1,0-1,21-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Jacksonville St.,219,219,13-16,CUSA,0-1,0-1,0-2,13-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,James Madison,45,45,26-8,Sun Belt,0-2,1-2,6-3,19-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Kansas,50,50,18-13,Big 12,1-7,3-4,4-1,10-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Kansas City,286,286,4-23,Summit League,0-2,0-5,0-4,4-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Kansas St.,54,54,18-17,Big 12,4-6,3-5,3-5,8-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Kennesaw St.,249,249,10-17,CUSA,0-1,0-2,0-2,10-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Kent St.,166,164,13-16,MAC,0-3,0-1,0-7,13-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Kentucky,16,16,23-10,SEC,5-9,2-1,8-0,8-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,LIU,272,274,19-10,NEC,0-0,0-1,0-0,19-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,LMU (CA),111,111,20-9,WCC,0-0,0-1,5-2,15-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,LSU,5,5,27-5,SEC,8-5,4-0,3-0,12-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,La Salle,164,163,17-13,Atlantic 10,0-1,1-4,0-3,16-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Lafayette,282,283,11-19,Patriot,0-1,0-0,0-3,11-15,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Lamar University,179,180,19-10,Southland,0-0,0-2,0-2,19-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Le Moyne,352,352,11-21,NEC,0-2,0-1,0-2,11-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Lehigh,191,195,17-13,Patriot,0-1,0-1,3-1,14-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Liberty,141,153,16-12,CUSA,0-2,1-1,1-2,14-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Lindenwood,94,94,23-8,OVC,0-2,0-0,4-3,19-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Lipscomb,260,261,8-20,ASUN,0-0,0-2,0-3,8-15,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Little Rock,237,237,13-16,OVC,0-1,0-1,0-6,13-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Long Beach St.,327,327,4-25,Big West,0-1,0-2,0-4,4-18,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Longwood,225,224,18-10,Big South,0-2,0-0,0-2,18-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Louisiana,318,318,4-25,Sun Belt,0-2,0-1,0-3,4-19,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Louisiana Tech,77,76,23-5,CUSA,0-2,0-0,1-1,22-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Louisville,11,11,27-7,ACC,8-6,6-1,1-0,12-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Loyola Chicago,198,198,14-17,Atlantic 10,0-2,0-3,0-3,14-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Loyola Maryland,273,272,12-18,Patriot,0-2,0-0,0-2,12-14,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Maine,142,142,19-12,America East,0-1,1-2,2-3,16-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Manhattan,288,290,11-20,MAAC,0-1,0-3,0-5,11-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Marist,302,302,11-20,MAAC,0-1,0-2,0-3,11-14,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Marquette,67,68,17-12,Big East,0-5,1-2,4-3,12-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Marshall,102,103,21-9,Sun Belt,0-2,1-2,2-2,18-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Maryland,14,14,23-8,Big Ten,6-7,2-1,3-0,12-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Massachusetts,98,98,23-7,MAC,0-0,0-3,3-1,20-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,McNeese,88,81,26-5,Southland,0-2,0-1,1-0,25-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Memphis,218,217,9-21,American,0-1,0-1,0-8,9-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Mercer,265,265,15-13,SoCon,0-0,0-2,0-1,15-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Mercyhurst,329,329,15-16,NEC,0-4,0-0,0-0,15-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
